module	CF_MAG_00002	Mycoplasma_Gadus_morhua_1	Mycoplasma_Gadus_morhua_2	Mycoplasma_HappyFish	Mycoplasma_HoloFish	Mycoplasma_NWS	Mycoplasma_haemofelis_Langford	Mycoplasma_haemofelis_Ohio2	Mycoplasma_iowae	Mycoplasma_laveretus	Mycoplasma_mobile	Mycoplasma_penetrans	NWS_MAG_00002	NWS_MAG_00005	NWS_MAG_00006	NWS_MAG_00007	NWS_MAG_00008	NWS_MAG_00010	NWS_MAG_00013	Ureaplasma_diversum	Ureaplasma_urealyticum_ATCC33699	CF_MAG_00001_contigs	GCF_028765605_1_ASM2876560v1_genomic	GCF_028765575_1_ASM2876557v1_genomic	GCF_003942025_1_ASM394202v1_genomic	GCF_000196495_1_ASM19649v1_genomic	GCF_001691055_1_ASM169105v1_genomic	GCF_014163665_1_ASM1416366v1_genomic	GCF_000286935_2_ASM28693v2_genomic	GCF_001691025_1_ASM169102v1_genomic	GCF_001690985_1_ASM169098v1_genomic	GCF_001691065_1_ASM169106v1_genomic
M00564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.2	0.2	0.0
M00570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
M00572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.6666666666666666	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.8333333333333334
M00573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
M00574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.2	0.2	0.6	0.6	0.2	0.2	0.2	0.2
M00577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
M00579	0.5	0.0	0.0	0.5	0.5	0.5	0.0	0.0	0.5	0.0	0.5	0.5	0.5	0.0	0.5	0.0	1.0	0.0	0.0	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
